user_id,amount,device,location,transaction_hour,isFraud,Transaction Amount,Transaction Frequency,Time Since Last Transaction,Device Fingerprinting,Geo-Location Flags,Location-Inconsistent Transactions,Recipient Verification Status,Recipient Blacklist Status,VPN or Proxy Usage,Merchant Category Mismatch,Account Age,User Daily Limit Exceeded,Recent High-Value Transaction Flags,Past Fraudulent Behavior Flags,Normalized Transaction Amount,Fraud Complaints Count,Label
user_290,135.67,ios,tashkent,15,0,135.67,4,63.68,e433a1a4c47d,0,0,1,0,0,0,372,0,0,0,0.0514,1,0
user_146,47.37,android,tashkent,10,0,47.37,4,1092.01,0f2a771f6853,0,0,1,0,0,0,1267,0,0,0,0.0171,1,0
user_259,130.47,android,istanbul,7,0,130.47,2,838.44,e24e6e46e1d2,0,0,1,0,0,0,867,0,0,0,0.0493,0,0
user_358,52.31,android,tashkent,21,0,52.31,5,1012.38,91ece726ca4b,0,0,1,0,0,0,2468,0,0,0,0.019,1,0
user_461,63.86,ios,fergana,14,0,63.86,1,611.41,82c302f72b58,0,0,0,0,0,0,803,0,0,0,0.0235,1,0
user_519,31.23,windows,bukhara,14,0,31.23,9,1248.86,8f88fcd24c1d,0,0,1,0,1,0,2253,0,1,0,0.0108,0,0
user_153,81.81,windows,tashkent,4,0,81.81,5,471.54,a2856cc36ebe,0,0,1,0,0,0,1034,0,0,0,0.0305,0,0
user_189,58.27,android,samarkand,4,0,58.27,6,417.69,11fc7e856a16,0,0,1,0,0,0,3124,0,0,0,0.0213,1,0
user_423,55.11,android,tashkent,8,0,55.11,2,455.47,298503ce4aad,0,0,1,0,0,0,247,0,0,0,0.0201,0,0
user_159,105.74,windows,samarkand,8,0,105.74,10,1121.85,6f548682393f,0,0,1,0,0,0,3649,0,0,0,0.0397,1,0
user_120,85.53,ios,dubai,19,0,85.53,10,728.36,bd351243935c,0,0,1,0,0,0,1918,0,0,0,0.0319,1,0
user_064,297.3,android,tashkent,22,0,297.3,1,787.29,2c342627cbad,0,0,1,0,0,0,2145,0,0,0,0.1141,1,0
user_460,19.89,android,tashkent,14,0,19.89,4,1202.63,25d676886be8,0,0,1,1,0,0,3618,0,0,0,0.0064,1,0
user_379,128.78,windows,istanbul,5,0,128.78,7,1205.05,d2df9580b03e,0,0,1,0,0,0,1823,0,0,0,0.0487,1,0
user_201,47.88,ios,dubai,6,0,47.88,6,258.05,ad3ef35a4ab1,0,0,1,0,0,0,425,0,0,0,0.0173,1,0
user_179,209.35,emulator,tashkent,7,0,209.35,10,805.17,db3d82a64a81,0,0,0,0,0,0,2089,0,1,0,0.0799,0,0
user_062,31.72,ios,tashkent,11,0,31.72,1,207.69,b770a28570a7,0,0,1,0,0,0,416,0,0,0,0.011,0,0
user_592,363.93,android,fergana,5,0,363.93,1,1254.63,ea459a0ada1c,0,0,1,0,0,0,776,0,0,0,0.1399,0,0
user_561,280.62,android,tashkent,6,0,280.62,8,1210.18,0e04cd93036f,0,0,1,0,0,0,2202,0,0,0,0.1076,1,0
user_512,56.38,android,almaty,7,0,56.38,4,1227.58,281914876734,0,0,1,0,0,0,566,0,0,0,0.0206,1,0
user_414,42.13,safari,tashkent,16,0,42.13,5,1023.85,fcfcdbb489db,0,0,1,0,0,0,2776,0,1,0,0.0151,1,0
user_449,133.5,linux,tashkent,0,0,133.5,13,688.3,c27142f88fb8,0,0,1,0,0,0,3602,0,0,0,0.0505,0,0
user_069,106.77,windows,bukhara,23,0,106.77,7,600.66,4cab20a35193,0,0,1,0,0,0,3379,0,0,0,0.0401,0,0
user_439,48.28,safari,istanbul,20,0,48.28,8,587.27,05e61af7793f,0,0,1,0,0,0,2379,0,0,0,0.0175,0,0
user_480,16.84,safari,tashkent,20,0,16.84,10,123.36,b63dffd5e483,0,0,1,0,0,0,2372,0,1,0,0.0053,0,0
user_383,87.2,linux,dubai,20,0,87.2,7,1367.91,95f19a4fb1ba,0,0,1,0,0,0,1821,0,0,0,0.0326,1,0
user_104,66.8,android,tashkent,18,0,66.8,2,664.89,d45a5bef5c9f,0,1,1,0,0,0,3028,0,0,0,0.0246,0,0
user_550,13.19,windows,fergana,11,0,13.19,14,1341.46,14ffa223399e,0,0,1,0,0,0,3473,0,0,0,0.0038,1,0
user_522,69.0,linux,fergana,23,0,69.0,4,1269.75,19fa9a5d1124,0,0,1,0,0,0,2037,0,0,0,0.0255,0,0
user_066,23.86,android,tashkent,14,0,23.86,10,1198.34,6b4242fecacb,0,0,1,0,0,0,1197,0,0,0,0.008,0,0
user_048,63.78,chrome,fergana,14,0,63.78,12,859.52,b576e9b10d21,0,0,1,0,0,0,439,0,0,0,0.0235,0,0
user_089,26.36,chrome,tashkent,9,0,26.36,1,173.19,2a225ec31b27,0,0,1,0,0,1,698,0,0,0,0.009,0,0
user_282,59.71,windows,tashkent,17,0,59.71,10,486.72,c0b8f5971070,0,0,1,0,0,0,894,0,0,0,0.0219,0,0
user_062,58.51,ios,tashkent,17,0,58.51,9,881.06,37a465efbfcb,0,0,1,0,0,0,2464,0,0,0,0.0214,0,0
